"648","Chauvet Burbank","7555 North San Fernando Rd",,"Sun Valley","CA","95105","United States","34.208424","-118.352577",,,,"www.chauvetlighting.com",,"954-577-4455",,,,,"16247","http://dev.chauvetdj.com/?post_type=store_page&p=16247",,"a:1:{s:6:\"marker\";s:60:\"http://dev.chauvetdj.com/wp-content/uploads/2016/01/Home.png\";}","2016-01-20 17:42:53","1283.5492382875"
"649","Chauvet Europe (services Belgium, Netherlands, Luxemburg and Germany)","Stokstraat 18 ","9770 Kruishoutem ",,,,"Belgium","50.9125017","3.4869012",,,,,,"+32 9.388.93.97",,,,,"16256","http://dev.chauvetdj.com/?post_type=store_page&p=16256",,,"2016-01-20 17:45:04","4642.6300158506"
"650","Chauvet Europe Limited","Brookhill Road Industrial Estate",,"Pinxton","Nottingham","NG16 6NT","United Kingdom","53.089702","-1.310404",,,,"www.chauvetlighting.eu",,"+44 1773 - 511115",,,,,"16257","http://dev.chauvetdj.com/?post_type=store_page&p=16257",,"a:1:{s:6:\"marker\";s:0:\"\";}","2016-01-20 17:47:03","4391.0990400486"
"651","Chauvet Global Headquarters","5200 NW 108th Ave",,"Sunrise","FL","33351","United States","26.189014","-80.291759",,,,"http://www.chauvetlighting.com",,"800-762-1084",,,,,"16260","http://dev.chauvetdj.com/?post_type=store_page&p=16260",,"a:1:{s:6:\"marker\";s:60:\"http://dev.chauvetdj.com/wp-content/uploads/2016/01/Home.png\";}","2016-01-20 17:48:55","1176.2922688750"
"652","Chauvet Mexico","AV de las Partidas 34, 3-B","Zona Industrial Lerma","Lerma, Edo. de México, CP",,"52000","Mexico","19.291519","-99.527452",,,,"www.chauvet.com.mx",,"+52 728 285-5000",,,,,"16261","http://dev.chauvetdj.com/?post_type=store_page&p=16261",,"a:1:{s:6:\"marker\";s:89:\"https://www.chauvetdj.com/wp-content/plugins/store-locator-le/images/icons/bulb_black.png\";}","2016-01-20 17:50:44","1251.2712824069"
"3329","American Musical Supply Inc. / Zzsounds.com","dba Zzounds.com",,,"NJ","07436",,"41.0322496","-74.2355404",,,,"www.americanmusical.com/ItemList--Chauvet--m-1823",,,,,,,"21627","http://www.chauvetdj.com/?post_type=store_page&p=21627",,,"2016-02-03 16:05:36","1180.7791096090"
"3330","High Output, Inc.","83 BELL ST",,"PORTLAND","ME","04103","USA","43.6858204","-70.2903846",,,,"www.highoutput.com",,"207-854-4737",,,,,"21628","http://www.chauvetdj.com/?post_type=store_page&p=21628",,,"2016-02-03 16:05:36","1406.8331332167"
"3331","High Output, Inc.","495 Turnpike Street",,"Canton","MA","02021","USA","42.165684","-71.112233",,,,"www.highoutput.com",,"781-364-1800",,,,,"21629","http://www.chauvetdj.com/?post_type=store_page&p=21629",,,"2016-02-03 16:05:37","1350.1217638139"
"3332","High Output, Inc.","62 BRIGADE STREET, # A5",,"CHARLESTON","SC","29403","USA","32.8116294","-79.9462676",,,,"www.highoutput.com",,"843-722-3600",,,,,"21630","http://www.chauvetdj.com/?post_type=store_page&p=21630",,,"2016-02-03 16:05:37","939.2483922304"
"3333","High Output, Inc.","301 IRON HORSE WAY",,"PROVIDENCE","RI","02908","USA","41.8288992","-71.432116",,,,"www.highoutput.com",,"401-521-0676",,,,,"21631","http://www.chauvetdj.com/?post_type=store_page&p=21631",,,"2016-02-03 16:05:37","1331.1600603335"
"3334","E-Distributors Inc  (aka  Audio Savings)","276 Greenpoint Ave","Building 9, 2nd","Brooklyn","NY","11222",,"40.7282702","-73.9506774",,,,"www.audiosavings.com/brand/chauvet",,,,,,,"21632","http://www.chauvetdj.com/?post_type=store_page&p=21632",,,"2016-02-03 16:05:37","1193.4981290410"
"3335","Bailey Brothers Music, LLC","1006 20TH ST. SOUTH",,"BIRMINGHAM","AL","35205",,"33.5014237","-86.797333",,,,"www.baileybrothers.com",,"(205) 271-7827",,,,,"21633","http://www.chauvetdj.com/?post_type=store_page&p=21633",,,"2016-02-03 16:05:37","560.2908453829"
"3336","Bailey Brothers Music, LLC","4673 HIGHWAY 280 EAST",,"BIRMINGHAM","AL","35242",,"33.4245186","-86.7008418",,,,"www.baileybrothers.com",,"205-271-7827",,,,,"21634","http://www.chauvetdj.com/?post_type=store_page&p=21634",,,"2016-02-03 16:05:37","567.7287603322"
"3337","Bailey Brothers Music, LLC","231 East Jefferson Street",,"Montgomery","AL","36104",,"32.3812912","-86.3054452",,,,"www.baileybrothers.com",,"334-262-7827",,,,,"21635","http://www.chauvetdj.com/?post_type=store_page&p=21635",,,"2016-02-03 16:05:38","625.0013733134"
"3338","RZI, INC.","3866 Euphrosine Street",,"New Orleans","LA","70125",,"29.9556467","-90.095104",,,,"-",,,,,,,"21636","http://www.chauvetdj.com/?post_type=store_page&p=21636",,,"2016-02-03 16:05:38","589.4194773075"
"3339","Barbizon (CO)","1320 S. Priest Drive, Suite 105",,"Tempe","AZ","85281",,"33.4140412","-111.9615097",,,,,,"480-237-0470",,,,,"21637","http://www.chauvetdj.com/?post_type=store_page&p=21637",,,"2016-02-03 16:05:38","950.0188182404"
"3340","Barbizon (CO)","2225 E. Beltline Road, Suite 309",,"Carrolton","TX","75006",,"32.9575483","-96.8780728",,,,,,,,,,,"21638","http://www.chauvetdj.com/?post_type=store_page&p=21638",,,"2016-02-03 16:05:38","293.0635207681"
"3341","Barbizon Charlotte","1483 Chattahoochee Ave NW, Suite D",,"Atlanta","GA","30318",,"33.8088237","-84.4355516",,,,,,,,,,,"21639","http://www.chauvetdj.com/?post_type=store_page&p=21639",,,"2016-02-03 16:05:38","673.5343824809"
"3342","Guitar Center  Incorporated","20 City Blvd. W.","Ste. 907D","Orange","CA","92868",,"33.7848294","-117.8935314",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,,,,,,"21640","http://www.chauvetdj.com/?post_type=store_page&p=21640",,,"2016-02-03 16:05:38","1266.3885089243"
"3343","Guitar Center  Incorporated","7425 Sunset Blvd.",,"Hollywood","CA","90046",,"34.0983607","-118.3516293",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"323-874-1060",,,,,"21641","http://www.chauvetdj.com/?post_type=store_page&p=21641",,,"2016-02-03 16:05:38","1285.5424580409"
"3344","Guitar Center  Incorporated","STORE MANAGER","712 Center Drive","San Marcos","CA","92069",,"33.1341568","-117.1240128",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"760-735-8050",,,,,"21642","http://www.chauvetdj.com/?post_type=store_page&p=21642",,,"2016-02-03 16:05:39","1237.8465418507"
"3345","Guitar Center  Incorporated","8825 Murray Drive",,"La Mesa","CA","91942",,"32.7776466","-117.0068239",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"619-668-8400",,,,,"21643","http://www.chauvetdj.com/?post_type=store_page&p=21643",,,"2016-02-03 16:05:39","1239.5890417251"
"3346","Guitar Center  Incorporated","1011 West Avenue P",,"Palmdale","CA","93551",,"34.601904","-118.1480552",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"661-947-8887",,,,,"21644","http://www.chauvetdj.com/?post_type=store_page&p=21644",,,"2016-02-03 16:05:39","1265.2972957859"
"3347","Guitar Center  Incorporated","18361 Euclid Street",,"Fountain Valley","CA","92708",,"33.6966179","-117.9353574",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"714-241-9140",,,,,"21645","http://www.chauvetdj.com/?post_type=store_page&p=21645",,,"2016-02-03 16:05:39","1270.4551482492"
"3348","Guitar Center  Incorporated","1054 North Azusa Avenue",,"Covina","CA","91722",,"34.098683","-117.9072384",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"626-967-7911",,,,,"21646","http://www.chauvetdj.com/?post_type=store_page&p=21646",,,"2016-02-03 16:05:39","1261.0680258215"
"3349","Guitar Center  Incorporated","14209 Ventura Blvd",,"Sherman Oaks","CA","91423",,"34.1501562","-118.4425037",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"818-990-8332",,,,,"21647","http://www.chauvetdj.com/?post_type=store_page&p=21647",,,"2016-02-03 16:05:39","1289.5797537119"
"3350","Guitar Center  Incorporated","925 East Hospitality Lane",,"San Bernadino","CA","92408",,"34.0679722","-117.2654419",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"909-383-3700",,,,,"21648","http://www.chauvetdj.com/?post_type=store_page&p=21648",,,"2016-02-03 16:05:39","1226.3252500046"
"3351","Guitar Center  Incorporated","4525 Artesia Blvd","STORE MANAGER","Lawndale","CA","90260",,"33.887237","-118.3525744",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"310-542-9444",,,,,"21649","http://www.chauvetdj.com/?post_type=store_page&p=21649",,,"2016-02-03 16:05:40","1289.6303400303"
"3352","Guitar Center  Incorporated","606 South Brea Blvd.",,"Brea","CA","92821",,"33.9106952","-117.9024417",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"714-672-0103",,,,,"21650","http://www.chauvetdj.com/?post_type=store_page&p=21650",,,"2016-02-03 16:05:40","1264.4026907086"
"3353","Guitar Center  Incorporated","19510 Nordhoff St.",,"Northridge","CA","91324",,"34.2348114","-118.5582402",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,,,,,,"21651","http://www.chauvetdj.com/?post_type=store_page&p=21651",,,"2016-02-03 16:05:40","1294.3938676209"
"3354","Guitar Center  Incorporated","12479 Foothill Blvd","Suite G","Rancho Cucamonga","CA","91739",,"34.1030021","-117.5335174",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"909-899-9843",,,,,"21652","http://www.chauvetdj.com/?post_type=store_page&p=21652",,,"2016-02-03 16:05:40","1240.4143445358"
"3355","Guitar Center  Incorporated","23811 El Toro Road","Suite A","Lake Forest","CA","92630",,"33.6180548","-117.7068827",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"949-609-0055",,,,,"21653","http://www.chauvetdj.com/?post_type=store_page&p=21653",,,"2016-02-03 16:05:40","1259.4924313542"
"3356","Guitar Center  Incorporated","1741 East Ventura Blvd","Suite E","Oxnard","CA","93030",,"34.225529","-119.1539115",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"805-278-2600",,,,,"21654","http://www.chauvetdj.com/?post_type=store_page&p=21654",,,"2016-02-03 16:05:40","1327.3810008262"
"3357","Guitar Center  Incorporated","3428 Ming Avenue",,"Bakersfield","CA","93309",,"35.3406159","-119.0413294",,,,"www.guitarcenter.com/New-Gear.gc?internal=1&browser=&fsrc=CHAUVET&src=CHAUVET",,"661-396-3838",,,,,"21655","http://www.chauvetdj.com/?post_type=store_page&p=21655",,,"2016-02-03 16:05:40","1302.8355404354"
